method_id,task_id,robot_id,search_mode,breaking_cost,success_rate,trials,perturbation,active_axes,notes
human_effect_prior,press_button,franka_panda,one_axis,1.0,0.4790391863022422,49,calibration_offset_mm=35,calibration_offset_mm,found_break
human_effect_prior,press_button,franka_panda,grid,1.0,0.4790391863022422,161,calibration_offset_mm=35,calibration_offset_mm,found_break
human_effect_prior,press_button,franka_panda,bodybreak,0.96337890625,0.49991114421292004,200,calibration_offset_mm=33.71826171875,calibration_offset_mm,found_break
human_effect_prior,press_button,widowx250_like,random,0.5969064304522842,0.4420965225762136,200,calibration_offset_mm=17.13;controller_rate_scale=0.9627382078580493;payload_g=169.033,"calibration_offset_mm,controller_rate_scale,payload_g",found_break
human_effect_prior,press_button,widowx250_like,one_axis,1.0,0.3932265480931265,49,action_noise_std=0.04,action_noise_std,found_break
human_effect_prior,press_button,widowx250_like,grid,0.7253117243679913,0.46849722719932024,161,joint_range_scale=0.7;calibration_offset_mm=10,"joint_range_scale,calibration_offset_mm",found_break
human_effect_prior,press_button,widowx250_like,bodybreak,0.674844477921488,0.4999862278655534,200,joint_range_scale=0.7208740234375;calibration_offset_mm=9.30419921875,"joint_range_scale,calibration_offset_mm",found_break
human_effect_prior,press_button,so101_urdf,random,0.4902216859652842,0.32126065121933345,200,calibration_offset_mm=9.311;controller_rate_scale=0.8525589640803669;obstacle_clearance_cm=3.618,"calibration_offset_mm,controller_rate_scale,obstacle_clearance_cm",found_break
human_effect_prior,press_button,so101_urdf,one_axis,0.5714285714285714,0.3742418836078567,49,calibration_offset_mm=20,calibration_offset_mm,found_break
human_effect_prior,press_button,so101_urdf,grid,0.37964806474052315,0.45889388760014405,161,action_noise_std=0.01;calibration_offset_mm=10,"action_noise_std,calibration_offset_mm",found_break
human_effect_prior,press_button,so101_urdf,bodybreak,0.3443341212185165,0.49991848637656,200,action_noise_std=0.00906982421875;calibration_offset_mm=9.06982421875,"action_noise_std,calibration_offset_mm",found_break
human_effect_prior,slide_track,franka_panda,random,1.2272013918120215,0.4209580229147663,200,action_noise_std=0.03390393806505061;speed_cap_scale=0.6072038594901943;tool_extension_cm=13.751,"action_noise_std,speed_cap_scale,tool_extension_cm",found_break
human_effect_prior,slide_track,franka_panda,one_axis,1.0,0.6377791366159307,49,action_noise_std=0.04,action_noise_std,no_break_found_returned_lowest_success
human_effect_prior,slide_track,franka_panda,grid,1.0,0.6377791366159307,161,action_noise_std=0.04,action_noise_std,no_break_found_returned_lowest_success
human_effect_prior,slide_track,franka_panda,bodybreak,0.9916388357027575,0.5272002015249329,200,action_noise_std=0.02100992579774615;gripper_limit_scale=0.7236799783234088;speed_cap_scale=0.5073218278258713,"action_noise_std,gripper_limit_scale,speed_cap_scale",no_break_found_returned_lowest_success
human_effect_prior,slide_track,widowx250_like,random,0.6449595376894189,0.4306283583871308,200,action_noise_std=0.01692138047639154;calibration_offset_mm=13.836;tool_extension_cm=5.683,"action_noise_std,calibration_offset_mm,tool_extension_cm",found_break
human_effect_prior,slide_track,widowx250_like,one_axis,1.0,0.427506405829281,49,latency_ms=240,latency_ms,found_break
human_effect_prior,slide_track,widowx250_like,grid,0.7882354932022309,0.4868761467338194,161,latency_ms=80;acceleration_cap_scale=0.5,"latency_ms,acceleration_cap_scale",found_break
human_effect_prior,slide_track,widowx250_like,bodybreak,0.7634106937337037,0.4999107232315578,200,latency_ms=77.48046875;acceleration_cap_scale=0.5157470703125,"latency_ms,acceleration_cap_scale",found_break
human_effect_prior,slide_track,so101_urdf,random,0.5262775358754517,0.48630531421861134,200,action_noise_std=0.01407119899873069;controller_rate_scale=0.706426111748873,"action_noise_std,controller_rate_scale",found_break
human_effect_prior,slide_track,so101_urdf,one_axis,1.0,0.3647078175957578,49,latency_ms=240,latency_ms,found_break
human_effect_prior,slide_track,so101_urdf,grid,0.7567721464434676,0.4760841415041698,161,action_noise_std=0.01;acceleration_cap_scale=0.5,"action_noise_std,acceleration_cap_scale",found_break
human_effect_prior,slide_track,so101_urdf,bodybreak,0.7122452696629804,0.49990475505204,200,action_noise_std=0.009411621093750001;acceleration_cap_scale=0.5294189453125,"action_noise_std,acceleration_cap_scale",found_break
human_effect_prior,pick_place_bin,franka_panda,random,0.7527374018598857,0.4934077188136392,200,gripper_limit_scale=0.634957591495731;payload_g=221.618,"gripper_limit_scale,payload_g",found_break
human_effect_prior,pick_place_bin,franka_panda,one_axis,1.0,0.49087610455919806,49,gripper_limit_scale=0.4,gripper_limit_scale,found_break
human_effect_prior,pick_place_bin,franka_panda,grid,0.7253117243679913,0.4838088689075221,161,gripper_limit_scale=0.6;calibration_offset_mm=10,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,pick_place_bin,franka_panda,bodybreak,0.6968021570771596,0.4999442533087891,200,gripper_limit_scale=0.61572265625;calibration_offset_mm=9.60693359375,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,pick_place_bin,widowx250_like,random,0.44149647577868617,0.46737817601740916,200,camera_shift_px=17.59;physical_gripper_restriction_mm=7.657,"camera_shift_px,physical_gripper_restriction_mm",found_break
human_effect_prior,pick_place_bin,widowx250_like,one_axis,0.5,0.4891156978476091,49,physical_gripper_restriction_mm=10,physical_gripper_restriction_mm,found_break
human_effect_prior,pick_place_bin,widowx250_like,grid,0.4166666666666666,0.4913177099137576,161,action_noise_std=0.01;gripper_limit_scale=0.8,"action_noise_std,gripper_limit_scale",found_break
human_effect_prior,pick_place_bin,widowx250_like,bodybreak,0.40598551432291663,0.4999546640511583,199,action_noise_std=0.009743652343750001;gripper_limit_scale=0.805126953125,"action_noise_std,gripper_limit_scale",found_break
human_effect_prior,pick_place_bin,so101_urdf,random,0.38495506633365595,0.4791609630027334,200,action_noise_std=0.005573807401903933;physical_gripper_restriction_mm=7.177,"action_noise_std,physical_gripper_restriction_mm",found_break
human_effect_prior,pick_place_bin,so101_urdf,one_axis,0.5,0.4932138012818553,49,physical_gripper_restriction_mm=10,physical_gripper_restriction_mm,found_break
human_effect_prior,pick_place_bin,so101_urdf,grid,0.3626558621839956,0.4921946730237577,161,gripper_limit_scale=0.8;calibration_offset_mm=5,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,pick_place_bin,so101_urdf,bodybreak,0.3538019592986441,0.4999855191991209,200,gripper_limit_scale=0.8048828125;calibration_offset_mm=4.8779296875,"gripper_limit_scale,calibration_offset_mm",found_break
human_effect_prior,pull_ring,franka_panda,random,0.9795716959551579,0.44875887708548656,200,joint_range_scale=0.726120104021194;gripper_limit_scale=0.7212952182891967;payload_g=305.521,"joint_range_scale,gripper_limit_scale,payload_g",found_break
human_effect_prior,pull_ring,franka_panda,one_axis,0.9999999999999999,0.6671042483437205,49,joint_range_scale=0.55,joint_range_scale,no_break_found_returned_lowest_success
